year,index,month,day,extent_north,extent_south,temp,temp_uncertainity,mean_extent,range
1980,5.5,6.5,1.0,12.3495452381,11.2059453869,8.98033333333,0.106666666667,11.7777453125,1980
1981,17.5,6.5,1.0,12.1472295635,11.387509375,9.16583333333,0.08725,11.7673694692,1981
1982,29.5,6.5,1.0,12.4673361111,11.59415625,8.63916666667,0.0826666666667,12.0307461806,1982
1983,41.5,6.5,1.0,12.3530948909,11.3434616567,9.02816666667,0.094,11.8482782738,1983
1984,53.5,6.5,1.0,11.9203822917,11.4285659722,8.69183333333,0.102583333333,11.674474132,1984
1985,65.5,6.5,1.0,12.015834871,11.5697270337,8.658,0.09325,11.7927809524,1985
1986,77.5,6.5,1.0,12.2245481647,11.0437473214,8.83358333333,0.085,11.6341477431,1986
1987,89.5,6.5,1.0,12.1833184844,11.6636710109,8.99441666667,0.0851666666667,11.9234947477,1987
1988,101.5,6.5,1.0,12.2016157065,11.403143389,9.20158333333,0.0800833333333,11.8023795478,1988
1989,113.5,6.5,1.0,11.9867879224,11.3791586598,8.922,0.088,11.6829732911,1989
1990,125.5,6.5,1.0,11.7163851511,11.363856458,9.23416666667,0.0863333333333,11.5401208045,1990
1991,137.5,6.5,1.0,11.7703022721,11.4983268497,9.17941666667,0.0620833333333,11.6343145609,1991
1992,149.5,6.5,1.0,12.1210651619,11.3742313404,8.83658333333,0.0833333333333,11.7476482512,1992
1993,161.5,6.5,1.0,11.9452538402,11.3712595942,8.86658333333,0.0813333333333,11.6582567172,1993
1994,173.5,6.5,1.0,12.0322094406,11.7267913274,9.03875,0.0709166666667,11.879500384,1994
1995,185.5,6.5,1.0,11.4379625512,11.7482057092,9.34708333333,0.0764166666667,11.5930841302,1995
1996,197.5,6.5,1.0,11.8503268508,11.7445429366,9.03891666667,0.08475,11.7974348937,1996
1997,209.5,6.5,1.0,11.6899490399,11.340793478,9.20258333333,0.0885833333333,11.515371259,1997
1998,221.5,6.5,1.0,11.7802573413,11.6904453789,9.52266666667,0.0739166666667,11.7353513601,1998
1999,233.5,6.5,1.0,11.7126026498,11.7116897849,9.28508333333,0.07925,11.7121462174,1999
2000,245.5,6.5,1.0,11.5189933661,11.7230336052,9.20116666667,0.0835,11.6210134857,2000
2001,257.5,6.5,1.0,11.6218876216,11.6282437404,9.41458333333,0.0874166666667,11.625065681,2001
2002,269.5,6.5,1.0,11.3858196365,11.1740994048,9.57041666667,0.0724166666667,11.2799595206,2002
2003,281.5,6.5,1.0,11.419147747,11.9240784434,9.52558333333,0.0906666666667,11.6716130952,2003
2004,293.5,6.5,1.0,11.2515858207,11.938545529,9.32458333333,0.0834166666667,11.5950656748,2004
2005,305.5,6.5,1.0,10.9277863927,11.6478071365,9.70091666667,0.0751666666667,11.2877967646,2005
2006,317.5,6.5,1.0,10.7938855543,11.4136190284,9.5325,0.09,11.1037522914,2006
2007,329.5,6.5,1.0,10.4991329301,11.6370057924,9.73216666667,0.0895,11.0680693612,2007
2008,341.5,6.5,1.0,10.990294256,12.2153472253,9.43175,0.0789166666667,11.6028207406,2008
2009,353.5,6.5,1.0,10.955518478,11.997908551,9.50525,0.0859166666667,11.4767135145,2009
2010,365.5,6.5,1.0,10.7342073989,12.0563834229,9.70308333333,0.0834166666667,11.3952954109,2010
2011,377.5,6.5,1.0,10.5074051267,11.4494427803,9.516,0.082,10.9784239535,2011
2012,389.5,6.5,1.0,10.4193348288,11.9809251329,9.50733333333,0.0834166666667,11.2001299808,2012
2013,401.5,6.5,1.0,10.9204940156,12.4749021121,9.6065,0.0976666666667,11.6976980639,2013
2014,413.5,6.5,1.0,10.8124696621,12.7257764337,9.57066666667,0.0901666666667,11.7691230479,2014
2015,425.5,6.5,1.0,10.5885992703,12.3656209293,9.831,0.0921666666667,11.4771100998,2015
